"name","make_name","year","fuel_efficiency","fuel_efficiency_units","volume"
"Honda 1978","Honda","1978","14.3273","kilometres_per_litre","250829"
"Honda 1979","Honda","1979","12.3292","kilometres_per_litre","323261"
"Honda 1980","Honda","1980","12.7968","kilometres_per_litre","349641"
"Honda 1981","Honda","1981","13.4345","kilometres_per_litre","396375"
"Honda 1982","Honda","1982","14.4124","kilometres_per_litre","353607"
"Honda 1983","Honda","1983","15.3052","kilometres_per_litre","401744"
"Honda 1984","Honda","1984","15.2201","kilometres_per_litre","482970"
"Honda 1985","Honda","1985","14.6675","kilometres_per_litre","541872"
"Honda 1986","Honda","1986","14.1573","kilometres_per_litre","629534"
"Honda 1987","Honda","1987","14.1148","kilometres_per_litre","764400"
"Honda 1988","Honda","1988","13.6471","kilometres_per_litre","848142"
"Honda 1989","Honda","1989","13.4345","kilometres_per_litre","754499"
"Honda 1990","Honda","1990","13.0944","kilometres_per_litre","894186"
"Honda 1991","Honda","1991","13.0519","kilometres_per_litre","882466"
"Honda 1992","Honda","1992","13.307","kilometres_per_litre","766617"
"Honda 1993","Honda","1993","13.8172","kilometres_per_litre","691903"
"Honda 1994","Honda","1994","13.7747","kilometres_per_litre","779072"
"Honda 1995","Honda","1995","13.9022","kilometres_per_litre","795598"
"Honda 1996","Honda","1996","13.6692","kilometres_per_litre","749883"
"Honda 1997","Honda","1997","13.5147","kilometres_per_litre","951812"
"Honda 1998","Honda","1998","13.4633","kilometres_per_litre","995594"
"Honda 1999","Honda","1999","12.9161","kilometres_per_litre","919140"
"Honda 2000","Honda","2000","12.7674","kilometres_per_litre","1143467"
"Honda 2001","Honda","2001","13.0313","kilometres_per_litre","1118325"
"Honda 2002","Honda","2002","12.8928","kilometres_per_litre","1223268"
"Honda 2003","Honda","2003","12.6484","kilometres_per_litre","1436382"
"Honda 2004","Honda","2004","12.6281","kilometres_per_litre","1364891"
"Honda 2005","Honda","2005","12.6871","kilometres_per_litre","1390671"
"Honda 2006","Honda","2006","12.6611","kilometres_per_litre","1479090"
"Honda 2007","Honda","2007","12.8618","kilometres_per_litre","1629113"
"Volkswagen 1978","Volkswagen","1978","11.5639","kilometres_per_litre","291002"
"Volkswagen 1979","Volkswagen","1979","11.992","kilometres_per_litre","212640"
"Volkswagen 1980","Volkswagen","1980","13.4615","kilometres_per_litre","428823"
"Volkswagen 1981","Volkswagen","1981","14.6604","kilometres_per_litre","333215"
"Volkswagen 1982","Volkswagen","1982","13.9226","kilometres_per_litre","251212"
"Volkswagen 1983","Volkswagen","1983","12.7931","kilometres_per_litre","158258"
"Volkswagen 1984","Volkswagen","1984","12.1131","kilometres_per_litre","292474"
"Volkswagen 1985","Volkswagen","1985","12.6967","kilometres_per_litre","276530"
"Volkswagen 1986","Volkswagen","1986","12.4996","kilometres_per_litre","277725"
"Volkswagen 1987","Volkswagen","1987","12.5565","kilometres_per_litre","247856"
"Volkswagen 1988","Volkswagen","1988","12.8844","kilometres_per_litre","204307"
"Volkswagen 1989","Volkswagen","1989","12.8232","kilometres_per_litre","151439"
"Volkswagen 1990","Volkswagen","1990","12.203","kilometres_per_litre","153861"
"Volkswagen 1991","Volkswagen","1991","12.5512","kilometres_per_litre","115165"
"Volkswagen 1992","Volkswagen","1992","12.4142","kilometres_per_litre","84631"
"Volkswagen 1993","Volkswagen","1993","11.1694","kilometres_per_litre","71153"
"Volkswagen 1994","Volkswagen","1994","12.1045","kilometres_per_litre","74667"
"Volkswagen 1995","Volkswagen","1995","12.2781","kilometres_per_litre","141820"
"Volkswagen 1996","Volkswagen","1996","12.1591","kilometres_per_litre","156504"
"Volkswagen 1997","Volkswagen","1997","12.2858","kilometres_per_litre","164717"
"Volkswagen 1998","Volkswagen","1998","12.3292","kilometres_per_litre","219273"
"Volkswagen 1999","Volkswagen","1999","12.1294","kilometres_per_litre","347385"
"Volkswagen 2000","Volkswagen","2000","12.2144","kilometres_per_litre","394362"
"Volkswagen 2001","Volkswagen","2001","12.0396","kilometres_per_litre","469432"
"Volkswagen 2002","Volkswagen","2002","12.4471","kilometres_per_litre","422032"
"Volkswagen 2003","Volkswagen","2003","12.586","kilometres_per_litre","430191"
"Volkswagen 2004","Volkswagen","2004","11.803","kilometres_per_litre","359324"
"Volkswagen 2005","Volkswagen","2005","12.0474","kilometres_per_litre","270952"
"Volkswagen 2006","Volkswagen","2006","12.6475","kilometres_per_litre","347799"
"Volkswagen 2007","Volkswagen","2007","11.8659","kilometres_per_litre","317305"
